time_s,fly_1_x_mm,fly_1_y_mm,fly_1_z_mm,fly_2_x_mm,fly_2_y_mm,fly_2_z_mm
2.901000000000000245e-01,3.567180549479845197e+00,-2.126644276972954550e+00,1.152872200728773500e+00,3.850429105408798236e+00,2.575007380210886154e+00,1.036982824649000934e+00
3.001000000000000334e-01,3.598672471031478359e+00,-2.001808217605171691e+00,1.148787681292617657e+00,4.039877912680036154e+00,2.654624385208164572e+00,1.105388139686099391e+00
3.101000000000000423e-01,3.684502757934784878e+00,-1.906042878674457874e+00,1.082398575274239105e+00,4.092591557504895228e+00,2.776964237221656528e+00,1.130460661637675779e+00
3.200999999999999956e-01,3.860547771340689049e+00,-1.676319486616369980e+00,1.090600693082647954e+00,4.189348776733992530e+00,2.850811270260131369e+00,1.071018375637482256e+00
3.301000000000000045e-01,4.064639018026610096e+00,-1.735511040134642524e+00,1.139522209824063381e+00,4.435383232028604183e+00,3.012495466879166361e+00,1.087811609437417726e+00
3.401000000000000134e-01,4.127207345103020231e+00,-1.839662852907407053e+00,1.167256850108800981e+00,4.624128847123226471e+00,2.915440904460073313e+00,1.124615141579875077e+00
3.501000000000000223e-01,4.233662816465886714e+00,-1.901296510436604636e+00,1.097777755872623606e+00,4.646585533670002377e+00,2.804029637030897248e+00,1.162990030736848590e+00
3.601000000000000312e-01,4.520126260447560718e+00,-2.033666849407889110e+00,1.109499323382629132e+00,4.719299454483246947e+00,2.707216969702167297e+00,1.096903186294753807e+00
3.701000000000000401e-01,4.709425004549957272e+00,-1.923309899620873509e+00,1.122984157437893815e+00,4.945404176806039942e+00,2.535016050057030235e+00,1.105295707000365724e+00
3.800999999999999934e-01,4.714979500848539118e+00,-1.815366908292115555e+00,1.175280191875853530e+00,5.154193940994866274e+00,2.544581837080122533e+00,1.108081964691371546e+00
3.901000000000000023e-01,4.773856668773474254e+00,-1.703201313968628616e+00,1.107761319740881767e+00,5.199714329498442034e+00,2.650597307831981109e+00,1.172705500081507424e+00
4.001000000000000112e-01,4.960919027112997703e+00,-1.508627143150053085e+00,1.107957912754762964e+00,5.304260592394934193e+00,2.752252327003887444e+00,1.111056465556179873e+00
4.101000000000000201e-01,5.169336598787207748e+00,-1.462863591467616464e+00,1.102479724051864896e+00,5.527895400110534929e+00,2.870474634166910288e+00,1.113706571335859152e+00
4.201000000000000290e-01,5.231601030558380216e+00,-1.562298201390067254e+00,1.172017087379832123e+00,5.741938755329171862e+00,2.902852848894189375e+00,1.089742761356981449e+00
4.301000000000000378e-01,5.360799106980429052e+00,-1.650125637861617811e+00,1.115307393163953442e+00,5.793534644676058498e+00,2.785885310300922235e+00,1.172754680103114122e+00
4.401000000000000467e-01,5.587177231348952056e+00,-1.728381597757508326e+00,1.118764402779253153e+00,5.889804961390733951e+00,2.662238184856761780e+00,1.122062222744437898e+00
4.501000000000000001e-01,5.811137535780318331e+00,-1.749971765029249227e+00,1.088613641030129919e+00,6.051482916046026617e+00,2.549245336242536020e+00,1.100607506194851481e+00
4.601000000000000090e-01,5.856030069544274852e+00,-1.621862150519368440e+00,1.177041035521666723e+00,6.249791000448514211e+00,2.419774688298970133e+00,1.082736807457158612e+00
4.701000000000000179e-01,5.929571530917053579e+00,-1.484948338743198981e+00,1.129321328001928748e+00,6.358412786437567021e+00,2.532092952653887785e+00,1.165865666048772731e+00
4.801000000000000267e-01,6.064682499800533755e+00,-1.361938429462409728e+00,1.097131088706362334e+00,6.462668490064740645e+00,2.647748681429168638e+00,1.136727317600827458e+00
4.901000000000000356e-01,6.238326368171565939e+00,-1.189611415553361917e+00,1.085477651716880265e+00,6.611752059710849672e+00,2.718832587205660900e+00,1.094090056031185476e+00
5.000999999999999890e-01,6.374864413633063442e+00,-1.283214318729296144e+00,1.163927213529789562e+00,6.837622300004883691e+00,2.872982404738726459e+00,1.082320791000185967e+00
5.100999999999999979e-01,6.490919457327839481e+00,-1.387344042958436496e+00,1.145434123370081325e+00,6.970482870998314873e+00,2.738041690923079585e+00,1.160588586033342917e+00
5.201000000000000068e-01,6.638320566623787222e+00,-1.436883222022790729e+00,1.092938861799350070e+00,7.030126416546884194e+00,2.614641165732800143e+00,1.152338421484815800e+00
5.301000000000000156e-01,6.900253307755160215e+00,-1.577228995382559340e+00,1.080857359514316940e+00,7.141255666077483077e+00,2.530633770737565680e+00,1.083910934607124510e+00
5.401000000000000245e-01,7.027391639104322962e+00,-1.424343402964149519e+00,1.153359281500596856e+00,7.346257750151097277e+00,2.324957280327577980e+00,1.089218339813049496e+00
5.501000000000000334e-01,7.058080953255434942e+00,-1.300502983032505444e+00,1.151801250752259698e+00,7.534169982109690800e+00,2.419628442493912956e+00,1.143068635452348714e+00
5.601000000000000423e-01,7.145589974162248836e+00,-1.205231491354798345e+00,1.078977674329234970e+00,7.586829804922261111e+00,2.532183609270192370e+00,1.164305850146778898e+00
5.701000000000000512e-01,7.323091720385726866e+00,-9.694938650867152008e-01,1.087941095104310696e+00,7.686433263068954247e+00,2.603054557459744345e+00,1.090474592205536331e+00
5.801000000000000600e-01,7.528035600377456227e+00,-1.024315378162428347e+00,1.128740010542278238e+00,7.940836999144744723e+00,2.778319151302208745e+00,1.102350698760316217e+00
5.901000000000000689e-01,7.587904551741116776e+00,-1.132518801668965569e+00,1.161246701472083531e+00,8.139065443343383777e+00,2.685654333534093663e+00,1.125485767238081580e+00
6.001000000000000778e-01,7.692522395077384445e+00,-1.193068906558858666e+00,1.094092623681640841e+00,8.159996279098049143e+00,2.575634472416568954e+00,1.171068006746162737e+00
6.100999999999999757e-01,7.979364318014680713e+00,-1.330549416420183650e+00,1.107601567932152031e+00,8.234072804955136604e+00,2.478968990137529360e+00,1.102373606736030132e+00
6.200999999999999845e-01,8.170106362943300837e+00,-1.222854090155000462e+00,1.119147731241346699e+00,8.457559563564453597e+00,2.301290488395028699e+00,1.111018255393087628e+00
6.300999999999999934e-01,8.175514476068729053e+00,-1.114661509696039277e+00,1.172558851835583615e+00,8.670881257110265139e+00,2.308304426916287788e+00,1.109933804703469029e+00
6.401000000000000023e-01,8.235729529947681371e+00,-1.003861947362612250e+00,1.105072603732539571e+00,8.712938380859291954e+00,2.415777900387606092e+00,1.176099496162315905e+00
6.501000000000000112e-01,8.422984179263430349e+00,-8.115558373971996087e-01,1.104129278809172554e+00,8.818498905944201383e+00,2.516120600851603495e+00,1.113046460833027274e+00
6.601000000000000201e-01,8.632359569842856573e+00,-7.664960201059395350e-01,1.098577423674460540e+00,9.041512919916874225e+00,2.634012344608355871e+00,1.114603282385516758e+00
