time_s,fly,left_x_m,left_y_m,left_z_m,right_x_m,right_y_m,right_z_m,left_c_arbitrary_per_m3,right_c_arbitrary_per_m3,left_generic_rate_Hz,right_generic_rate_Hz,tarsal_food_contact
0.161,fly_2,0.002725808811032827,0.0030383262412771467,0.0008181344712791503,0.0027154149432102,0.0028234025335067536,0.0008029258120123779,30143920.698160775,32147089.221588265,24.257288534209277,25.096120408453903,0
0.162,fly_1,0.0022987420820049713,-0.0019971959037306244,0.001033702258255918,0.0023573629359301936,-0.0022047237777571525,0.001038928437920619,33670216.89716141,32826112.035128,25.761762568504345,25.451708315212638,0
0.162,fly_2,0.0027118748388653686,0.003042259052077258,0.0008333807276513756,0.002702660844502533,0.002827479641234799,0.0008155918841580985,29950555.314948652,31959271.182503387,24.144352827990257,24.987680143347998,0
0.163,fly_1,0.002310635312494472,-0.002006814835685621,0.001043393035175226,0.00236805862898096,-0.002214657812778671,0.0010493424522534868,33728504.9676716,32854929.976892088,25.767580679141155,25.444698646560827,0
0.163,fly_2,0.002696633900461967,0.0030512113066724464,0.0008513790586102951,0.0026888350001211285,0.0028365142184161372,0.0008319916035293219,29690410.58922367,31703707.88693151,23.99859853788608,24.84720101155177,0
0.164,fly_1,0.002319123498897339,-0.0020151132035624393,0.0010513013411964963,0.00237507732150895,-0.002223313643925394,0.0010586008161502709,33761192.96078532,32854691.120121904,25.76162740312894,25.42415277489164,0
0.164,fly_2,0.00268569335514184,0.003060363301234919,0.00086961054947066,0.0026792666037833385,0.0028457068113884685,0.000849292473760662,29469182.020567827,31488451.660275225,23.87208033675563,24.72596074735421,0
0.165,fly_1,0.0023247444690838114,-0.0020227264360966565,0.0010574950338876489,0.0023788976856772446,-0.0022313440191563854,0.0010663080434577317,33770343.61695444,32827765.312656373,25.744919889947703,25.39123845862547,0
0.165,fly_2,0.0026819550135845846,0.0030652528451766557,0.00088365717853119,0.002676543066250045,0.0028506663449549847,0.0008623292457799009,29366966.597491793,31394694.672015063,23.804580916423518,24.662785276990903,0
0.166,fly_1,0.0023281770029416585,-0.0020297902808978233,0.0010641407730566286,0.0023803900201432374,-0.002238862016910868,0.0010738539600711947,33755276.58804549,32778474.683138996,25.71719825790023,25.348015406505755,0
0.166,fly_2,0.0026831074673317554,0.003064972473974077,0.000890919490016371,0.0026782596102090683,0.0028505403716711395,0.0008679650187734712,29377170.389306128,31414557.163872864,23.792879416818153,24.65392515654451,0
0.167,fly_1,0.002331024639241471,-0.0020369958612221463,0.0010732229739456704,0.0023812058135706765,-0.00224654902554408,0.001083265734143308,33722726.179308936,32713063.745691657,25.681592394930966,25.297424569535934,0
0.167,fly_2,0.0026861329505356957,0.0030592954513481937,0.0008903904394522605,0.002681194440065416,0.0028450631660467945,0.0008656583749275333,29476904.989687156,31519871.146851055,23.82543894360424,24.685731340133433,0
0.168,fly_1,0.0023353686983130567,-0.002046246204074403,0.0010832019978032448,0.00238327058285771,-0.0022563100798351386,0.001093695496944601,33689297.17483331,32641706.076181926,25.64573762940554,25.244232248603325,0
0.168,fly_2,0.002689855910564663,0.0030500049899072654,0.0008907969901741207,0.0026842550522509856,0.0028359102310914746,0.0008650365437389547,29614949.25078442,31656544.93696762,23.876700691652385,24.732241001795025,0
0.169,fly_1,0.0023421039795350576,-0.002058396501256927,0.0010923392260874052,0.0023875342590842213,-0.0022689822315920885,0.0011033517574073279,33665636.04129967,32574995.508001875,25.614511520528662,25.193393739728485,0
0.169,fly_2,0.0026925038544153047,0.0030397139634406162,0.0008935561568114966,0.0026858989770607977,0.0028257121100535667,0.0008672670277118039,29746160.83770989,31780646.98354636,23.92434275507213,24.772566799097813,0
0.17,fly_1,0.002351282883573332,-0.0020731101025499403,0.0010996536743843085,0.0023942191434067664,-0.0022842040795847092,0.001110938461397837,33658099.70639274,32522624.89354074,25.590807722047632,25.149436253830768,0
0.17,fly_2,0.0026982847459292294,0.003029559882495108,0.0008930934261710994,0.002690658747266223,0.0028156721715224733,0.0008661596702863542,29914948.721117273,31945084.732057042,23.9901069718661,24.83167122174284,0
0.171,fly_1,0.002362358201471971,-0.002089362080870314,0.001105379396298755,0.002402940928309013,-0.002300928756074686,0.0011165203205071932,33666406.20337811,32487737.416992433,25.57446647324716,25.11381412622351,0
0.171,fly_2,0.0027067959087540665,0.0030208236156474963,0.0008920877980572477,0.002698153029038925,0.002806980305862936,0.0008651086309575258,30098357.530884515,32125291.93222586,24.0626049902605,24.897820219413987,0
0.17200000000000001,fly_1,0.0023750512568444706,-0.002105821683166459,0.001108948217264724,0.002413638348930671,-0.00231780343451911,0.0011192588615013682,33699012.29713365,32483053.03111209,25.569313712226815,25.092443368787066,0
